backend,dataset,seed,round,clients,samples_per_client,partition_manifest,source_label,target_label,malicious_fraction,malicious_client_ids,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity
plaintext,mnist,1,1,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.0,,all_rounds,False,2.2866292724609374,2.178254204940796,0.3773,0.8872246696035242,0.0,0.3070961754022885,18.565935500000002,0.0,0.0,0.0,1.0000000000000002
plaintext,mnist,1,2,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.0,,all_rounds,False,2.1205307841300964,1.923660465812683,0.5425,0.9541850220264317,0.0,0.48220157278242454,18.665025500000002,0.0,0.0,0.0,1.0
plaintext,mnist,1,3,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.0,,all_rounds,False,1.857639860153198,1.5660072481155396,0.5603,0.9277533039647577,0.0,0.508915055249638,26.096956000000006,0.0,0.0,0.0,1.0000000000000002
plaintext,mnist,1,4,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.0,,all_rounds,False,1.4903046038150787,1.2384095953941345,0.6164,0.9330396475770925,0.000881057268722467,0.5672695078801964,20.780325199999993,0.0,0.0,0.0,1.0
plaintext,mnist,1,5,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.0,,all_rounds,False,1.2287530000209808,0.8964734875202179,0.7336,0.9409691629955947,0.0,0.7089065269222966,17.001608500000003,0.0,0.0,0.0,1.0
