backend,dataset,seed,round,clients,samples_per_client,partition_manifest,partitioning,dirichlet_alpha,source_label,target_label,malicious_fraction,malicious_client_ids,malicious_source_samples,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity,key_generation_seconds,encryption_seconds,aggregation_seconds,decryption_seconds,ciphertext_bytes
lee_ckks,mnist,3,1,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-3.json,dirichlet,1.0,1,7,0.0,,0,all_rounds,False,2.0632346062660214,2.2037125095367434,0.111,0.0,0.0,0.1275472115622584,20.2782762,2.497192294666369e-08,2.7863332358895007e-09,1.5306140365647244e-06,0.9999999999988288,0.36321970000000015,0.7501177000000041,0.015434700000003687,0.019707699999997885,23398402
lee_ckks,mnist,3,2,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-3.json,dirichlet,1.0,1,7,0.0,,0,all_rounds,False,1.8721083478927614,1.936544367980957,0.4429,0.16740088105726872,0.0,0.47404103575251216,26.5286581,2.8808109997654173e-08,2.8095382588248025e-09,1.2752501360879913e-06,0.9999999999991868,0.4334916,0.9691510999999906,0.019680699999998552,0.026101000000000596,23401295
lee_ckks,mnist,3,3,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-3.json,dirichlet,1.0,1,7,0.0,,0,all_rounds,False,1.5407554442882538,1.5548312648773193,0.571,0.5533039647577093,0.0,0.5681187371164413,23.013649799999996,2.8758226789826378e-08,2.757767105936151e-09,1.0433873311328308e-06,0.9999999999994555,0.45821079999999625,1.0431144999999376,0.02301169999999786,0.02914200000002154,23400763
lee_ckks,mnist,3,4,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-3.json,dirichlet,1.0,1,7,0.0,,0,all_rounds,False,1.405564342737198,1.2475089754104614,0.7602,0.905726872246696,0.0,0.7352417910084691,21.335243500000004,2.42692377340481e-08,2.7626133538324664e-09,1.1035134567363632e-06,0.9999999999993912,0.4057044999999988,0.7358188000000325,0.011157299999979386,0.0176236000000074,23401815
lee_ckks,mnist,3,5,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-3.json,dirichlet,1.0,1,7,0.0,,0,all_rounds,False,0.9950785429477692,0.9118328841209412,0.7807,0.9488986784140969,0.0,0.7536662700443064,29.346247600000012,2.5746073958540783e-08,2.8089743951691885e-09,1.261430306497071e-06,0.999999999999205,0.4243139999999954,0.9449594999999817,0.01910319999998933,0.025252599999987524,23400363
