backend,dataset,seed,round,clients,samples_per_client,partition_manifest,partitioning,dirichlet_alpha,source_label,target_label,malicious_fraction,malicious_client_ids,malicious_source_samples,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity
fedshe_plain,mnist,1,1,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.2,4;5,30,final_third,False,2.2866292724609374,2.178254204940796,0.3773,0.8872246696035242,0.0,0.3070961754022885,13.031151000000001,0.0,0.0,0.0,1.0000000000000002
fedshe_plain,mnist,1,2,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.2,4;5,30,final_third,False,2.1205307841300964,1.923660465812683,0.5425,0.9541850220264317,0.0,0.48220157278242454,12.7257733,0.0,0.0,0.0,1.0
fedshe_plain,mnist,1,3,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.2,4;5,30,final_third,False,1.857639860153198,1.5660072481155396,0.5603,0.9277533039647577,0.0,0.508915055249638,12.529748900000001,0.0,0.0,0.0,1.0000000000000002
fedshe_plain,mnist,1,4,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.2,4;5,30,final_third,True,1.5062561266422272,1.2698517043113708,0.6009,0.8475770925110132,0.004405286343612335,0.5607703035626885,12.623478999999996,0.0,0.0,0.0,1.0
fedshe_plain,mnist,1,5,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.2,4;5,30,final_third,True,1.266342456817627,0.9174335036277771,0.7345,0.9074889867841409,0.004405286343612335,0.7142582848926147,12.647703500000006,0.0,0.0,0.0,1.0000000000000002
