backend,dataset,seed,round,clients,samples_per_client,partition_manifest,partitioning,dirichlet_alpha,source_label,target_label,malicious_fraction,malicious_client_ids,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity
plaintext,mnist,5,1,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-5.json,dirichlet,1.0,1,7,0.2,6;8,all_rounds,True,2.006278257369995,2.109931615638733,0.3323,0.0,0.19030837004405288,0.3654714195382858,16.467245399999996,0.0,0.0,0.0,1.0
plaintext,mnist,5,2,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-5.json,dirichlet,1.0,1,7,0.2,6;8,all_rounds,True,1.7684369096755983,1.9088891483306885,0.2716,0.0,0.5083700440528635,0.2952763356905086,14.723787000000002,0.0,0.0,0.0,0.9999999999999999
plaintext,mnist,5,3,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-5.json,dirichlet,1.0,1,7,0.2,6;8,all_rounds,True,1.5391306681632995,1.582431877708435,0.4883,0.29955947136563876,0.4502202643171806,0.5105718084337062,14.7550065,0.0,0.0,0.0,0.9999999999999999
plaintext,mnist,5,4,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-5.json,dirichlet,1.0,1,7,0.2,6;8,all_rounds,True,1.3071388487815858,1.2378027941703795,0.652,0.7594713656387665,0.06519823788546256,0.6394574687568385,14.856151699999998,0.0,0.0,0.0,0.9999999999999999
plaintext,mnist,5,5,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-5.json,dirichlet,1.0,1,7,0.2,6;8,all_rounds,True,1.0375331943035124,1.0234928246974946,0.7255,0.7427312775330397,0.11365638766519824,0.7244961548450743,14.1766516,0.0,0.0,0.0,1.0000000000000002
