backend,dataset,seed,round,clients,samples_per_client,partition_manifest,source_label,target_label,malicious_fraction,malicious_client_ids,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity,key_generation_seconds,encryption_seconds,aggregation_seconds,decryption_seconds,ciphertext_bytes
lee_ckks,mnist,1,1,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.1,4,all_rounds,True,2.277253529548645,2.179049598312378,0.3122,0.1092511013215859,0.38854625550660793,0.3319213876466138,17.260407999999998,2.996960193435514e-08,2.8221139403906345e-09,1.5979366197484965e-06,0.9999999999987235,0.3338763999999994,0.5723409999999998,0.009335300000000046,0.014096599999996684,23401793
lee_ckks,mnist,1,2,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.1,4,all_rounds,True,2.1174885478019716,1.9279091220855713,0.5411,0.9101321585903084,0.001762114537444934,0.4860577799015642,17.7249649,2.746046299031968e-08,2.7132095021552644e-09,1.2823037105461138e-06,0.9999999999991781,0.330926299999998,0.5563511999999875,0.010442999999998648,0.014257799999995768,23403699
lee_ckks,mnist,1,3,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.1,4,all_rounds,True,1.8650018019676207,1.5842318098068238,0.5587,0.8942731277533039,0.001762114537444934,0.5114066347718893,17.956929100000004,2.6212889528572612e-08,2.7833566406043366e-09,9.929575607317927e-07,0.9999999999995068,0.3290190000000024,0.5604518000000027,0.010140900000003228,0.013033899999989274,23400875
lee_ckks,mnist,1,4,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.1,4,all_rounds,True,1.504696312904358,1.2557322573661804,0.6084,0.9048458149779736,0.001762114537444934,0.5618143828722798,17.6139662,3.083210567015265e-08,2.7628275722326914e-09,9.675076367527156e-07,0.999999999999532,0.329037299999996,0.7181200999999788,0.012718500000005406,0.022340299999996205,23397481
lee_ckks,mnist,1,5,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,1,7,0.1,4,all_rounds,True,1.265722887992859,0.9045564811706543,0.7348,0.9303964757709251,0.001762114537444934,0.7117241682030273,17.015596000000002,3.0578919537435254e-08,2.8017520186525973e-09,1.0798142466394957e-06,0.9999999999994169,0.3371196000000083,0.5627611000000456,0.010516200000026288,0.015782200000003854,23398651
