backend,dataset,seed,round,clients,samples_per_client,partition_manifest,partitioning,dirichlet_alpha,source_label,target_label,malicious_fraction,malicious_client_ids,malicious_source_samples,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity
fedshe_plain,mnist,1,1,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.1,4,16,all_rounds,True,2.277253529548645,2.179049598693848,0.3122,0.1092511013215859,0.38854625550660793,0.3319213876466138,17.1967281,0.0,0.0,0.0,1.0
fedshe_plain,mnist,1,2,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.1,4,16,all_rounds,True,2.1174885444641114,1.9279091121673584,0.5411,0.9101321585903084,0.001762114537444934,0.4860577799015642,15.334984199999997,0.0,0.0,0.0,0.9999999999999998
fedshe_plain,mnist,1,3,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.1,4,16,all_rounds,True,1.8650017795562746,1.584231819152832,0.5587,0.8942731277533039,0.001762114537444934,0.5114066347718893,14.203601399999997,0.0,0.0,0.0,0.9999999999999998
fedshe_plain,mnist,1,4,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.1,4,16,all_rounds,True,1.5046962990760802,1.2557322187423705,0.6084,0.9048458149779736,0.001762114537444934,0.5618143828722798,14.242062400000009,0.0,0.0,0.0,1.0
fedshe_plain,mnist,1,5,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-1.json,iid,,1,7,0.1,4,16,all_rounds,True,1.265722894668579,0.9045564347743988,0.7348,0.9303964757709251,0.001762114537444934,0.7117241682030273,15.309035699999995,0.0,0.0,0.0,0.9999999999999999
