backend,dataset,seed,round,clients,samples_per_client,partition_manifest,source_label,target_label,malicious_fraction,malicious_client_ids,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity
plaintext,mnist,3,1,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-3.json,1,7,0.2,0;7,first_third,True,2.295347898960114,2.180171063232422,0.3163,0.3497797356828194,0.0,0.315190125532096,11.714035999999998,0.0,0.0,0.0,0.9999999999999999
plaintext,mnist,3,2,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-3.json,1,7,0.2,0;7,first_third,True,2.1237853684425354,1.9727716974258422,0.4948,0.44669603524229073,0.5330396475770925,0.49834063549773344,10.1871698,0.0,0.0,0.0,0.9999999999999998
plaintext,mnist,3,3,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-3.json,1,7,0.2,0;7,first_third,False,1.8632965674400328,1.5475450296401978,0.6074,0.9973568281938326,0.0,0.5558421491856715,9.5903703,0.0,0.0,0.0,0.9999999999999998
plaintext,mnist,3,4,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-3.json,1,7,0.2,0;7,first_third,False,1.4402421383857726,1.1262750372886658,0.6865,0.9700440528634361,0.0,0.6482516431079456,10.1755395,0.0,0.0,0.0,1.0
plaintext,mnist,3,5,10,100,results\partitions\mnist_iid_clients-10_samples-100_seed-3.json,1,7,0.2,0;7,first_third,False,1.1000725380182264,0.9979756531715394,0.6543,0.9550660792951542,0.0,0.6127407317237681,10.370621500000006,0.0,0.0,0.0,1.0
