backend,dataset,seed,round,clients,samples_per_client,partition_manifest,partitioning,dirichlet_alpha,source_label,target_label,malicious_fraction,malicious_client_ids,malicious_source_samples,attack_schedule,attack_active,mean_client_loss,test_loss,test_accuracy,source_recall,targeted_attack_success_rate,unaffected_macro_recall,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity,key_generation_seconds,encryption_seconds,aggregation_seconds,decryption_seconds,ciphertext_bytes
lee_ckks,mnist,1,1,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-1.json,dirichlet,1.0,1,7,0.2,4;5,6,all_rounds,True,2.0350873665809632,2.199519734954834,0.3715,0.0,0.1656387665198238,0.41542021726179357,29.228462699999998,2.7417102547696096e-08,2.798666201892367e-09,1.3229884911805882e-06,0.9999999999991249,0.40023370000000114,1.4828917000000246,0.030817599999995338,0.03539280000000389,23401183
lee_ckks,mnist,1,2,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-1.json,dirichlet,1.0,1,7,0.2,4;5,6,all_rounds,True,1.8435921821594239,1.984847897529602,0.4219,0.0,0.01145374449339207,0.47177053481232584,24.48508369999999,2.9268033944346294e-08,2.7515648891734816e-09,1.2730813319662927e-06,0.9999999999991896,0.3598938999999959,0.6931174000000198,0.012854300000000762,0.01884340000000151,23399006
lee_ckks,mnist,1,3,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-1.json,dirichlet,1.0,1,7,0.2,4;5,6,all_rounds,True,1.5959579019546506,1.7529441171646118,0.431,0.0,0.0,0.4832292133960336,19.71304169999999,2.8139219961738002e-08,2.8124577374351696e-09,1.140439627015188e-06,0.9999999999993496,0.34508180000000266,0.6564873000000091,0.011829399999982115,0.015342599999996764,23399586
lee_ckks,mnist,1,4,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-1.json,dirichlet,1.0,1,7,0.2,4;5,6,all_rounds,True,1.3978596205711364,1.492716009426117,0.4699,0.0,0.0026431718061674008,0.528374909698744,17.690252200000003,2.738752745835675e-08,2.7915928148417758e-09,1.0991776959673013e-06,0.9999999999993957,0.3607815999999957,0.5571049000000414,0.010112900000009972,0.01506700000000194,23399572
lee_ckks,mnist,1,5,10,100,results\partitions\mnist_dirichlet-alpha-1_clients-10_samples-100_seed-1.json,dirichlet,1.0,1,7,0.2,4;5,6,all_rounds,True,1.1549079587459565,1.1528015582084656,0.629,0.6008810572687224,0.10044052863436123,0.6257687816007421,16.852278000000013,2.237674698573472e-08,2.802106452983173e-09,1.2335572709008483e-06,0.9999999999992394,0.3542084999999986,0.5806358999999333,0.010003099999963183,0.014661200000006147,23400543
