backend,clients,seed,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity,key_generation_seconds,encryption_seconds,aggregation_seconds,decryption_seconds,ciphertext_bytes
lee_ckks,1,1,7.562781054182288e-09,8.757521737455736e-10,9.640517643089623e-08,0.9999999999999957,0.3162566,0.05422080000000018,2.900000000016778e-05,0.011943000000000148,1671173
lee_ckks,1,2,7.410066716478925e-09,8.789781819838412e-10,9.190283869501636e-08,0.9999999999999961,0.3208141,0.04613679999999998,2.520000000005851e-05,0.011046799999999912,1672020
lee_ckks,1,3,8.594391783314781e-09,8.780668075030309e-10,9.101939595027626e-08,0.9999999999999959,0.3268483,0.06157939999999984,3.439999999987897e-05,0.015930100000000058,1671240
lee_ckks,1,4,8.827142908979235e-09,8.755711716385043e-10,9.426738064318799e-08,0.9999999999999958,0.38109519999999986,0.050204399999999705,3.219999999970469e-05,0.014026300000000269,1671700
lee_ckks,1,5,9.720598034834715e-09,8.652278886405847e-10,9.272208983447503e-08,0.9999999999999958,0.4254975000000001,0.06874620000000009,3.7099999999679056e-05,0.023382599999999698,1671567
lee_ckks,2,1,1.3037551221451761e-08,1.2285286083076436e-09,1.913486674666412e-07,0.9999999999999816,0.43098409999999987,0.12167480000000097,0.0019531999999999883,0.015610299999999633,3342841
lee_ckks,2,2,1.1373870965718236e-08,1.2368525670243577e-09,1.828857677950899e-07,0.9999999999999833,0.37290360000000033,0.1322250000000018,0.0015817000000000192,0.014649600000000262,3341944
lee_ckks,2,3,1.0318843535065195e-08,1.2489852050052949e-09,1.8589580254781012e-07,0.9999999999999829,0.3188953000000003,0.08738210000000102,0.0012975000000006176,0.015314099999999442,3343598
lee_ckks,2,4,1.1270789555123395e-08,1.2437473980975369e-09,1.8641315502502225e-07,0.9999999999999827,0.2821334000000002,0.07858989999999988,0.0009910000000008523,0.01126130000000014,3342184
lee_ckks,2,5,9.702006964311394e-09,1.2457416931910417e-09,1.910134148422226e-07,0.999999999999982,0.29230990000000023,0.08865069999999875,0.0011337000000004593,0.012449099999998658,3341302
lee_ckks,5,1,2.379906720415166e-08,1.954409694446944e-09,4.6618676984399475e-07,0.9999999999998913,0.29586380000000023,0.23809579999999908,0.007769599999998711,0.012707899999999661,8360318
lee_ckks,5,2,1.7232188940542736e-08,1.9436612061791974e-09,4.6751855840758035e-07,0.9999999999998906,0.29851589999999995,0.23975619999999864,0.005659200000000197,0.01168570000000102,8357162
lee_ckks,5,3,1.948646549242844e-08,1.957244360818011e-09,4.71808807164723e-07,0.9999999999998888,0.3219814999999997,0.23460370000000008,0.003566499999999806,0.011727299999999552,8357318
lee_ckks,5,4,1.9386489399052242e-08,1.953724678954408e-09,4.4915071028183407e-07,0.9999999999998991,0.31059650000000083,0.258735699999999,0.004198799999999281,0.013941099999998485,8358315
lee_ckks,5,5,1.840116039229789e-08,1.961302108720563e-09,4.7490622764154183e-07,0.9999999999998873,0.32257140000000106,0.2500327000000002,0.004309299999997407,0.015133500000001021,8357350
lee_ckks,10,1,2.557348625963421e-08,2.779264320143808e-09,9.385533293336091e-07,0.9999999999995596,0.3132520000000003,0.4943046000000013,0.008338299999996579,0.014009400000000838,16714786
lee_ckks,10,2,2.5233212388054566e-08,2.7964321927720266e-09,9.497156026506534e-07,0.9999999999995488,0.27753099999999975,0.39025600000000793,0.006528700000002274,0.009408499999999265,16714254
lee_ckks,10,3,2.3238916031960433e-08,2.7923244611405147e-09,9.382905736941623e-07,0.9999999999995596,0.2633960000000002,0.3715805999999926,0.006274599999999353,0.010241500000001125,16715883
lee_ckks,10,4,2.533732098740013e-08,2.7504665197467662e-09,8.998795371215211e-07,0.9999999999995954,0.2572977000000005,0.3806954999999945,0.00701629999999831,0.010159899999999666,16714432
lee_ckks,10,5,2.670554992032989e-08,2.754768273964919e-09,9.048087252863883e-07,0.9999999999995909,0.2973979999999994,0.39651069999999855,0.00610460000000046,0.009507500000001556,16716615
