backend,clients,seed,passes_acceptance,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity,key_generation_seconds,encryption_seconds,aggregation_seconds,decryption_seconds,ciphertext_bytes,security_level,multiplication_depth,polynomial_degree,round_decimals
fedshe_ckks,1,1,False,0.0004999624583870172,0.0002512054959890472,0.022637947334401987,0.9997440970211422,0.07076605600013863,0.07862393699997483,2.72180000138178e-05,0.04359527299993715,1049028,128,0,16384,3
fedshe_ckks,1,2,False,0.0004999444615095853,0.00025062028593797985,0.021497216215704516,0.9997689275271326,0.03483068099967568,0.06412805899981322,2.4526999368390534e-05,0.03579534800019246,1049028,128,0,16384,3
fedshe_ckks,1,3,False,0.0005000113006681205,0.00024878052053727636,0.02146531143925753,0.9997698435610389,0.032177717000195116,0.07625196100025278,2.980699946419918e-05,0.024028500000440545,1049028,128,0,16384,3
fedshe_ckks,1,4,False,0.0005000133365392683,0.0002505383897997576,0.02185033526214652,0.9997612891129325,0.04079120799997327,0.09052915700021913,2.628700030982145e-05,0.022280589999809308,1049028,128,0,16384,3
fedshe_ckks,1,5,False,0.0004999694004654883,0.00025005759848996937,0.02190234857196025,0.9997602403972876,0.027799923000202398,0.064862451999943,2.152599972760072e-05,0.02522985699988567,1049028,128,0,16384,3
fedshe_ckks,2,1,False,0.000499881602031885,0.00024734684378636994,0.031231937590943514,0.9995130959628235,0.026371810999989975,0.09549769299883337,0.0006750910006303457,0.017464189999827795,2098056,128,0,16384,3
fedshe_ckks,2,2,False,0.0004999800592318969,0.00024885112930411767,0.030147686307355603,0.9995457195718481,0.02168394799991802,0.08749460900025952,0.0005934350001552957,0.016766951000136032,2098056,128,0,16384,3
fedshe_ckks,2,3,False,0.0005000072900129366,0.0002502472391565459,0.030666195920041727,0.9995300357516144,0.023891578000075242,0.09231152599977577,0.0006997229997978138,0.018160186000386602,2098056,128,0,16384,3
fedshe_ckks,2,4,False,0.0004998917206132038,0.0002488376509668833,0.03049424482623085,0.9995356631396383,0.019260431000020617,0.10120403999962946,0.0007195930002126261,0.0181431099999827,2098056,128,0,16384,3
fedshe_ckks,2,5,False,0.0005000067420105857,0.0002504005330477938,0.031376680534728564,0.9995077779756961,0.022286282999630203,0.0963144669999565,0.0004982200002814352,0.011918776000129583,2098056,128,0,16384,3
fedshe_ckks,5,1,False,0.0005001252658926605,0.0002482597212466088,0.04846045355360872,0.9988287229184494,0.02169978300025832,0.25155704600001627,0.001803691999612056,0.01636829300014142,5245140,128,0,16384,3
fedshe_ckks,5,2,False,0.0004999819861300162,0.00025025102866555225,0.04883624316033192,0.9988082707451347,0.022551849000137736,0.21898728900123388,0.001333932999841636,0.012215184000069712,5245140,128,0,16384,3
fedshe_ckks,5,3,False,0.0005001551576220157,0.00024889016453565993,0.04894448738094527,0.9988053635773548,0.02595959399968706,0.20188543499898515,0.0016561109996473533,0.016519910999704734,5245140,128,0,16384,3
fedshe_ckks,5,4,False,0.00050003431420038,0.00025124061322012145,0.04677304163220642,0.9989085808325411,0.01901432200020281,0.2365537370014863,0.0018349479996686568,0.020424945000286243,5245140,128,0,16384,3
fedshe_ckks,5,5,False,0.0005001775753569969,0.00025331072896243813,0.050042270763334507,0.9987510481972101,0.028186473000005208,0.26701500699982716,0.002553816999807168,0.02173983400052748,5245140,128,0,16384,3
fedshe_ckks,10,1,False,0.00050030599314252,0.00025038651834760335,0.06932820175231647,0.9976011447096278,0.021423970999876474,0.4718590190013856,0.004306900000301539,0.01796365199970751,10490280,128,0,16384,3
fedshe_ckks,10,2,False,0.0004999810732801944,0.0002496252151283177,0.06960989194835845,0.9975884016379727,0.026900766999915504,0.47211299100172255,0.0037454459998116363,0.011985738000021229,10490280,128,0,16384,3
fedshe_ckks,10,3,False,0.0005001700675759477,0.00025156551133940466,0.06923192947148894,0.9976142681469715,0.0214578140003141,0.48280319600007715,0.0036634799998864764,0.022686597999836522,10490280,128,0,16384,3
fedshe_ckks,10,4,False,0.0005000281459280067,0.00024949588152282926,0.06607881273776339,0.997819551636064,0.01930069000036383,0.4871718770004918,0.002899694999996427,0.015389239999876736,10490280,128,0,16384,3
fedshe_ckks,10,5,False,0.0004999407074014043,0.0002485340732122671,0.06746524177691808,0.9977305908978504,0.021509561000129906,0.5730095560002155,0.004148037999584631,0.013702702000045974,10490280,128,0,16384,3
