acc_score,loss_score
96.62,0.26934862009265464
98.26,0.0585247915559838
98.61,0.03002689311824159
98.89,0.02156679898776933
98.94,0.016925334203395967
99.0,0.014238306918143238
99.08,0.012093189775781898
99.14,0.010732735036437051
99.12,0.008910153222279435
99.15,0.008365195188840699
99.18,0.0069750371285929435
99.09,0.006570294650906276
99.11,0.00609118203248627
99.16,0.005142223732049848
99.16,0.005380058144799012
99.16,0.0050027687644175175
99.13,0.0037714744287777
99.18,0.0035699414842016814
99.21,0.003568347635882604
99.21,0.0030974686429072235
