training_times,aggregation_times,update_times,epoch_times,total_time
290.04385628700254,0.011030197143554688,0.0018126964569091797,378.2021794319153,7550.204829692841
276.19245889186857,0.006010532379150391,0.0009996891021728516,372.37473702430725,7550.204829692841
315.5924830198288,0.007037639617919922,0.0015077590942382812,410.6844382286072,7550.204829692841
273.8979065179825,0.006206512451171875,0.0,355.37761926651,7550.204829692841
242.38816063404084,0.006015300750732422,0.0029990673065185547,327.2383074760437,7550.204829692841
252.30035724639893,0.0062863826751708984,0.0,344.6009600162506,7550.204829692841
262.1534051179886,0.006178617477416992,0.0009949207305908203,353.2207877635956,7550.204829692841
279.00976667404177,0.006203174591064453,0.0015554428100585938,374.44211864471436,7550.204829692841
295.5006611585617,0.011644840240478516,0.0016307830810546875,403.22046732902527,7550.204829692841
304.4403712749481,0.00969839096069336,0.004821300506591797,404.3312134742737,7550.204829692841
294.11813328266146,0.010604143142700195,0.0015687942504882812,398.6747877597809,7550.204829692841
270.35527789592743,0.0073375701904296875,0.003571033477783203,369.6675159931183,7550.204829692841
268.4994475603104,0.0041925907135009766,0.0,366.0580680370331,7550.204829692841
269.2162528038025,0.012387990951538086,0.0055942535400390625,373.35390400886536,7550.204829692841
278.1538813829422,0.00664067268371582,0.0010209083557128906,384.98100876808167,7550.204829692841
347.912220287323,0.0057599544525146484,0.0010013580322265625,446.0303544998169,7550.204829692841
274.1267718076706,0.005625247955322266,0.0011219978332519531,365.4407033920288,7550.204829692841
293.449276971817,0.006680965423583984,0.0,387.65317583084106,7550.204829692841
279.0235975265503,0.005133628845214844,0.0,372.48392057418823,7550.204829692841
266.651983499527,0.003638029098510742,0.002033710479736328,360.9349613189697,7550.204829692841
