backend,dataset,seed,round,clients,samples_per_client,mean_client_loss,test_loss,test_accuracy,round_seconds
plaintext,mnist,1,1,5,100,2.28885200881958,2.1850372325897216,0.2746,5.7228277
plaintext,mnist,1,2,5,100,2.111704807281494,1.950175550842285,0.4144,6.653761599999999
plaintext,mnist,1,3,5,100,1.8296975383758542,1.4867166582107545,0.6106,6.968484700000001
plaintext,mnist,1,4,5,100,1.495092827796936,1.3887137580871582,0.5501,6.981026100000001
plaintext,mnist,1,5,5,100,1.1291588859558106,0.9000725565433502,0.7378,6.887198499999997
