backend,dataset,seed,round,clients,samples_per_client,partition_manifest,mean_client_loss,test_loss,test_accuracy,round_seconds,max_absolute_error,mean_absolute_error,relative_l2_error,cosine_similarity,key_generation_seconds,encryption_seconds,aggregation_seconds,decryption_seconds,ciphertext_bytes
lee_ckks,mnist,1,1,5,100,results\partitions\mnist_iid_clients-5_samples-100_seed-1.json,2.28885200881958,2.1850372283935546,0.2746,8.0690107,1.5144114768098592e-08,1.938167943362219e-09,1.0126440004809716e-06,0.9999999999994871,0.2905673999999996,0.23930909999999983,0.004441099999998421,0.0121595000000001,11698162
lee_ckks,mnist,1,2,5,100,results\partitions\mnist_iid_clients-5_samples-100_seed-1.json,2.1117047910690308,1.9501755367279052,0.4144,8.8170754,1.8660342089018775e-08,1.950502590194613e-09,8.610460314485263e-07,0.9999999999996293,0.33794720000000034,0.3140402999999896,0.004773799999997053,0.01996140000000146,11701431
lee_ckks,mnist,1,3,5,100,results\partitions\mnist_iid_clients-5_samples-100_seed-1.json,1.829697508811951,1.4867166514396668,0.6106,7.6527867,1.5502113105128265e-08,1.9595978747835747e-09,6.24264157154289e-07,0.9999999999998052,0.33571170000000095,0.31181939999999386,0.006859299999995017,0.01798630000000756,11700468
lee_ckks,mnist,1,4,5,100,results\partitions\mnist_iid_clients-5_samples-100_seed-1.json,1.4950928192138673,1.388713782787323,0.5501,7.524225999999999,2.4066861641425306e-08,1.955114734095112e-09,6.651752970923113e-07,0.9999999999997788,0.2948783999999982,0.24462030000000112,0.004270599999998126,0.012284299999997472,11701271
lee_ckks,mnist,1,5,5,100,results\partitions\mnist_iid_clients-5_samples-100_seed-1.json,1.129158868789673,0.9000725619792939,0.7378,7.921335899999995,1.608361264088037e-08,1.977155380757012e-09,7.136828602031409e-07,0.9999999999997454,0.31482640000000117,0.30340269999999947,0.004890099999997233,0.014367500000012967,11698284
