acc_score,loss_score
96.55,0.26964347207968875
98.3,0.05815106299599364
98.61,0.03184063053788081
98.87,0.021182411395963406
98.97,0.017784934992787688
99.04,0.013996505335042073
99.08,0.011935484328201814
99.14,0.010325765805217987
99.1,0.009722717934833893
99.18,0.00803257090986454
99.12,0.007651701679107513
99.18,0.006926444166549796
99.15,0.005895564222701378
99.17,0.005193852718147178
99.21,0.005274217613553586
99.19,0.004767711546690102
99.22,0.00436711616093445
99.18,0.003700209084636508
99.21,0.0033375253025631135
99.2,0.0035194332321712486
