noise_calc_time,training_times,key_generation_time,encryption_times,decryption_times,aggregation_times,update_times,epoch_times,total_time
0.06484508514404297,291.6407023668289,0.9144487380981445,11.348486971855163,1.9348022937774658,0.23930046558380128,0.0,435.4023988246918,8367.089353322983
0.06047201156616211,278.00736570358276,0.9574110507965088,11.1485600233078,1.9281492233276367,0.17919297218322755,0.0010020732879638672,418.6353597640991,8367.089353322983
0.04520106315612793,276.24756786823275,0.8993005752563477,11.08994677066803,1.932725429534912,0.22382621765136718,0.003999233245849609,414.60197472572327,8367.089353322983
0.055329322814941406,279.6587740659714,0.806098461151123,10.949862265586853,1.9985713958740234,0.3598395109176636,0.012778759002685547,417.0100040435791,8367.089353322983
0.046362876892089844,278.9217725276947,1.062300205230713,10.890910458564758,2.481152296066284,0.2059302806854248,0.0010235309600830078,421.66911697387695,8367.089353322983
0.05134439468383789,277.7717153787613,1.1653342247009277,10.970343399047852,1.9241743087768555,0.3089585781097412,0.001994609832763672,412.70077109336853,8367.089353322983
0.04548287391662598,275.93423173427584,0.802858829498291,10.648337626457215,1.9394500255584717,0.1605997085571289,0.0010056495666503906,415.2306749820709,8367.089353322983
0.05178236961364746,281.1908802986145,0.8967177867889404,11.03828456401825,1.9487252235412598,0.2681762218475342,0.003000020980834961,421.31336283683777,8367.089353322983
0.04420161247253418,276.0150768280029,0.8025357723236084,11.26012167930603,1.9217782020568848,0.19236133098602295,0.0010139942169189453,422.92856454849243,8367.089353322983
0.05525946617126465,277.6597179174423,0.8287637233734131,11.382257294654845,1.9436490535736084,0.27236313819885255,0.0,419.2716784477234,8367.089353322983
0.05506539344787598,277.8493866682053,0.8117985725402832,10.918378734588623,1.982598066329956,0.19668939113616943,0.0009996891021728516,412.4428961277008,8367.089353322983
0.053473472595214844,276.89355022907256,0.8903706073760986,10.595235061645507,1.9750025272369385,0.27969999313354493,0.0043833255767822266,415.67820405960083,8367.089353322983
0.05024862289428711,278.00340542793276,0.8638033866882324,11.525170254707337,2.0185060501098633,0.21994152069091796,0.001009225845336914,421.65070128440857,8367.089353322983
0.060987234115600586,277.9479439020157,0.8878896236419678,10.885566759109498,1.923290729522705,0.17591993808746337,0.0010006427764892578,417.5832006931305,8367.089353322983
0.05202054977416992,278.42997097969055,1.030031442642212,11.031858801841736,1.9567592144012451,0.20834636688232422,0.002998828887939453,416.0541169643402,8367.089353322983
0.05008864402770996,276.5596121072769,0.8129587173461914,11.250370526313782,1.9620659351348877,0.2025825262069702,0.0013210773468017578,420.82192277908325,8367.089353322983
0.04770946502685547,278.21085765361784,0.8255443572998047,10.725022149085998,1.9193592071533203,0.1667578935623169,0.0015878677368164062,414.92518949508667,8367.089353322983
0.05926322937011719,279.51782155036926,0.9603955745697021,11.007942724227906,1.9824507236480713,0.1849639892578125,0.0,419.8342614173889,8367.089353322983
0.05774497985839844,277.21645429134367,0.8279025554656982,10.872345113754273,1.9131999015808105,0.21142988204956054,0.002592325210571289,414.81079363822937,8367.089353322983
0.05006885528564453,277.1212832212448,0.961362361907959,10.848894667625427,1.909635066986084,0.16600234508514405,0.0,413.51250529289246,8367.089353322983
